Course_number,Time1,Place
1122_132501,T9a,YB101[YM]
1122_132502,F56,YT103[YM]
1122_132503,W78,YT103[YM]
1122_132504,R56,YB118[YM]
1122_132505,F56,YT206[YM]
1122_132506,R56,YT103[YM]
1122_132507,F1,YB118[YM]
1122_132508,M34,NULL
1122_132509,W56,YB245
1122_132510,R56,YB134[YM]
1122_132511,T56,YT301[YM]
1122_132512,R78,YT204[YM]
1122_132513,T78,YB134[YM]
1122_132514,R78,YL402[YM]
1122_132515,W56,YB101[YM]
1122_132516,M34,NULL
1122_132517,T56,YB134[YM]
1122_132518,W78,YB458[YM]
